latitude,longitude,mag,label
19.173,-155.5003333,4.4,1
-7.1707,129.7044,2.7,0
-17.842,-178.0687,4.4,1
36.8201667,-121.555,4.1,1
-7.0822,129.9562,3.4,0
53.094,-166.8632,3.18,1
35.5311,25.8453,3.11,0
31.67798749,-104.3957406,4.5,1
53.7987,-165.0322,4.5,1
19.25666667,-64.88933333,2.84,1
-59.953,-27.8184,4.2,1
52.0062,176.5715,3.0,0
19.32066667,-64.79533333,4.3,1
52.1982,-168.1695,3.1,1
-5.5415,151.6366,3.8,0
52.7206,-168.6668,3.26,1
-39.1366,-91.3738,4.2,1
-7.0226,129.9937,2.7,0
52.2201,159.8177,3.43,0
46.4409,149.6617,2.8,0
-18.1047,-177.8817,4.3,1
14.0287,145.0201,3.3,0
17.9865,-66.8863,4.4,1
53.1421,-166.8644,4.5,1
18.8468,-64.405,4.4,1
19.55333333,-156.0043333,4.0,1
18.1315,-67.23983333,4.1,1
-2.4396,140.704,4.4,0
37.7398333,-122.128,3.52,1
50.4432,-174.2056,3.2,1
38.1593,74.116,3.83,0
38.6783,141.9108,2.67,0
43.7612,-128.587,2.62,1
55.5064,-149.2594,4.2,1
-7.9957,107.9128,2.72,0
-21.7769,-68.5617,2.7,1
51.4608,-175.6034,4.4,1
52.7646,-167.444,4.1,1
3.6141,122.7771,3.5,0
6.0367,60.7381,4.0,0
19.238,-68.9336,4.0,1
54.5331,-159.8207,4.5,1
32.47650146,-102.0206507,2.9,1
52.0046,-171.4988,2.8,1
51.3294,-176.2162,4.0,1
53.5571,-162.855,4.4,1
51.9564,179.8626,4.08,0
-20.2929,-177.6348,2.6,1
36.0841667,-118.9036667,2.6,1
51.9248,178.6428,3.2,0
27.6733,56.1838,2.8,0
-6.2834,147.419,2.6,0
53.9354,-166.4128,2.7,1
-31.722,-67.1914,4.2,1
-20.2849,-177.4539,3.15,1
-6.5427,151.9123,2.6,0
54.3092,-159.7547,4.3,1
35.5995,25.8618,4.3,0
40.9488333,-124.0303333,2.7,1
51.3811,-176.6322,4.3,1
51.0364,-178.161,4.3,1
-23.3379,-174.8566,4.4,1
-23.414,-174.7041,2.9,1
18.8263,-64.3388,4.4,1
54.6689,-156.9373,3.61,1
54.715,-157.0884,2.8,1
55.199,-156.7951,3.9,1
54.608,-156.7668,4.5,1
54.7547,-156.887,4.4,1
-19.5368,-177.074,3.76,1
54.7345,-156.7661,3.2,1
54.8073,-156.8366,2.8,1
36.8343333,-121.5731667,3.4,1
54.7013,-156.835,3.9,1
-2.8053,141.8287,2.8,0
11.2892,91.8207,4.3,0
-5.518,102.8032,3.1,0
38.8269997,-122.7621689,2.6,1
-21.0386,-177.7685,2.99,1
52.2846,-170.4471,3.0,1
42.9735,18.1489,4.4,0
54.7499,-156.9333,4.1,1
-7.9781,129.919,4.3,0
16.6797,-98.9887,2.65,1
35.4541,139.2024,4.2,0
1.5255,127.1206,3.3,0
53.8453,-165.0471,3.0,1
-16.304,-174.2223,2.6,1
18.945,-67.34933333,4.4,1
23.2218,121.4519,4.1,0
40.9251667,-111.6248333,3.8,1
52.0091,178.3543,4.4,0
55.4551,-149.3489,3.6,1
51.9625,-177.2055,4.5,1
13.9966,120.5752,3.14,0
25.8265,128.3839,4.2,0
6.0665,126.0555,2.88,0
50.3913,-177.2419,3.2,1
-14.893,166.9404,3.0,0
-14.7507,166.9029,2.6,0
37.943,27.3214,4.5,0
43.6777,-128.6231,4.3,1
-16.6398,-74.2667,4.4,1
-55.6879,-26.4725,4.0,1
6.2073,60.8238,4.5,0
43.5974,-128.6681,4.5,1
-23.2975,-175.6789,3.2,1
43.6598,-129.0905,4.5,1
-21.5202,-68.5084,4.4,1
46.2286,154.7309,4.4,0
31.72151906,-104.3043001,4.4,1
54.3537,-159.7507,3.5,1
-4.9673,151.9971,4.5,0
-14.1378,167.7614,3.6,0
56.5437,-149.3306,4.2,1
-14.6664,166.8198,4.5,0
60.5731,-152.7649,2.6,1
50.9211,-178.0724,2.7,1
40.5213333,-124.9323333,4.3,1
-19.3176,-177.4859,4.2,1
33.6998333,-116.7613333,2.9,1
